year,month,Produto,Avg_Valor de Venda
2017,2,GNV,2.30223876123876
2017,3,DIESEL,3.07107436004051
2017,3,DIESEL S10,3.1888223552896
2017,3,ETANOL,2.97138089324892
2017,3,GASOLINA,3.73879344734581
2017,3,GNV,2.32397795738428
2017,4,DIESEL,3.03020562616026
2017,4,DIESEL S10,3.1480387583098
2017,4,ETANOL,2.87038003942845
2017,4,GASOLINA,3.68338453748947
2017,4,GNV,2.32426837909654
2017,5,DIESEL,3.03265879992933
2017,5,DIESEL S10,3.14709019834975
2017,5,ETANOL,2.82212326881033
2017,5,GASOLINA,3.66721293009764
2017,5,GNV,2.3339830007391
2017,6,DIESEL,3.00381340249546
2017,6,DIESEL S10,3.11722945244327
2017,6,ETANOL,2.73597574742894
2017,6,GASOLINA,3.60162382887697
2017,6,GNV,2.36131077471059
2017,7,DIESEL,2.98310623637771
2017,7,DIESEL S10,3.09560994779114
2017,7,ETANOL,2.70048666062154
2017,7,GASOLINA,3.60698267527908
2017,7,GNV,2.35914008810572
2017,8,DIESEL,3.12675151371241
2017,8,DIESEL S10,3.23429801151234
2017,8,ETANOL,2.83769659606661
2017,8,GASOLINA,3.81496556139655
2017,8,GNV,2.37879072532699
2017,9,DIESEL,3.19719954551909
2017,9,DIESEL S10,3.30320732464306
2017,9,ETANOL,2.8526326986681
2017,9,GASOLINA,3.90044211704525
2017,9,GNV,2.39201564722617
2018,1,DIESEL,3.39365635303069
2018,1,DIESEL S10,3.48904494224388
2018,1,ETANOL,3.14460040226589
2018,1,GASOLINA,4.21992905245514
2018,1,GNV,2.48166046831956
2018,10,DIESEL,3.72104187257923
2018,10,DIESEL S10,3.79990322290635
2018,10,ETANOL,3.17870336628805
2018,10,GASOLINA,4.75398363557526
2018,10,GNV,2.90493664122136
2018,11,DIESEL,3.67874636622327
2018,11,DIESEL S10,3.76803332312714
2018,11,ETANOL,3.16336491991489
2018,11,GASOLINA,4.633101437994
2018,11,GNV,3.01832026143789
2018,12,DIESEL,3.51970218601279
2018,12,DIESEL S10,3.6238206588919
2018,12,ETANOL,3.08042953183634
