"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","51.80","47.79","52.48","46.82","4.51M","8.85%"
"Nov 20","47.59","37.37","49.09","35.74","5.04M","27.04%"
"Oct 20","37.46","42.17","43.57","36.64","5.15M","-8.52%"
"Sep 20","40.95","45.60","46.22","39.30","4.40M","-9.56%"
"Aug 20","45.28","43.53","46.53","42.89","3.61M","4.57%"
"Jul 20","43.30","41.58","44.89","41.03","4.03M","5.22%"
"Jun 20","41.15","37.56","43.93","37.01","4.28M","16.47%"
"May 20","35.33","26.95","36.98","25.50","3.80M","39.81%"
"Apr 20","25.27","25.99","36.40","15.98","6.45M","11.13%"
"Mar 20","22.74","48.95","53.90","21.65","7.36M","-54.99%"
"Feb 20","50.52","56.16","60.00","50.05","5.27M","-13.14%"
"Jan 20","58.16","66.41","71.75","57.71","5.80M","-11.88%"
"Dec 19","66.00","60.73","68.99","60.30","4.45M","5.72%"
"Nov 19","62.43","59.45","64.60","59.40","4.79M","3.65%"
"Oct 19","60.23","59.38","62.34","56.15","5.61M","-0.90%"
"Sep 19","60.78","58.80","71.95","57.23","5.63M","0.58%"
"Aug 19","60.43","64.09","64.54","55.88","5.98M","-7.27%"
"Jul 19","65.17","65.05","67.65","61.29","5.71M","-2.07%"
"Jun 19","66.55","61.64","66.85","59.45","5.70M","3.19%"
"May 19","64.49","71.73","73.40","64.37","6.13M","-11.41%"
"Apr 19","72.80","67.58","75.60","67.58","5.49M","6.45%"
"Mar 19","68.39","66.48","68.89","64.02","4.84M","3.57%"
"Feb 19","66.03","61.06","67.73","60.46","4.55M","6.69%"
"Jan 19","61.89","54.12","63.15","52.51","5.48M","15.04%"
"Dec 18","53.80","59.98","63.73","49.93","4.73M","-8.36%"
"Nov 18","58.71","74.69","74.99","57.50","6.26M","-22.21%"
"Oct 18","75.47","82.79","86.74","75.09","6.90M","-8.76%"
"Sep 18","82.72","77.69","82.87","75.64","4.69M","6.85%"
"Aug 18","77.42","74.07","78.03","70.30","4.73M","4.27%"
"Jul 18","74.25","78.55","79.51","71.19","5.56M","-6.53%"
"Jun 18","79.44","77.71","79.70","72.45","5.97M","2.38%"
"May 18","77.59","74.65","80.50","72.38","6.37M","3.22%"
"Apr 18","75.17","69.32","75.47","66.69","6.23M","6.97%"
"Mar 18","70.27","64.57","71.05","63.19","5.34M","6.83%"
"Feb 18","65.78","69.00","70.02","61.76","5.66M","-4.74%"
"Jan 18","69.05","66.55","71.28","66.24","5.48M","3.26%"
"Dec 17","66.87","62.74","67.10","61.13","4.86M","5.19%"
"Nov 17","63.57","61.07","64.65","60.00","6.25M","3.58%"
"Oct 17","61.37","56.73","61.41","55.06","6.55M","6.66%"
"Sep 17","57.54","52.84","59.49","51.99","5.05M","9.85%"
"Aug 17","52.38","52.70","53.64","50.00","6.33M","-0.51%"
"Jul 17","52.65","48.95","52.92","46.11","5.44M","9.87%"
"Jun 17","47.92","51.17","51.45","44.35","6.85M","-4.75%"
"May 17","50.31","51.88","54.67","46.64","7.34M","-2.75%"
"Apr 17","51.73","53.62","56.65","50.45","5.47M","-2.08%"
"Mar 17","52.83","56.45","57.05","49.71","6.24M","-4.96%"
"Feb 17","55.59","55.55","57.45","54.44","5.08M","-0.20%"
"Jan 17","55.70","57.05","58.37","53.58","5.55M","-1.97%"
"Dec 16","56.82","51.72","57.89","51.51","5.16M","12.58%"
"Nov 16","50.47","48.72","50.49","43.57","6.24M","4.49%"
"Oct 16","48.30","50.02","53.73","47.98","5.41M","-1.55%"
"Sep 16","49.06","46.98","50.14","45.09","5.44M","4.29%"
"Aug 16","47.04","43.11","51.22","41.51","5.62M","10.79%"
"Jul 16","42.46","49.90","50.75","41.80","4.89M","-14.53%"
"Jun 16","49.68","49.65","52.86","46.69","5.06M","-0.02%"
"May 16","49.69","47.37","50.51","43.33","5.50M","3.24%"
"Apr 16","48.13","40.14","48.50","37.27","5.67M","21.54%"
"Mar 16","39.60","36.60","42.54","35.95","5.29M","10.09%"
"Feb 16","35.97","35.85","37.00","29.92","6.11M","3.54%"
"Jan 16","34.74","37.85","38.99","27.10","5.13M","-6.81%"
"Dec 15","37.28","44.62","45.18","35.98","4.34M","-16.43%"
"Nov 15","44.61","49.50","50.91","43.15","4.64M","-9.99%"
"Oct 15","49.56","48.40","54.05","46.41","4.60M","2.46%"
"Sep 15","48.37","52.92","53.47","45.98","4.49M","-10.67%"
"Aug 15","54.15","51.55","54.32","42.23","5.04M","3.72%"
"Jul 15","52.21","63.02","63.35","51.63","4.72M","-17.90%"
"Jun 15","63.59","65.59","66.36","60.94","4.82M","-3.00%"
"May 15","65.56","66.78","69.63","61.24","4.28M","-1.83%"
"Apr 15","66.78","55.18","66.93","54.00","4.36M","21.18%"
"Mar 15","55.11","62.50","62.50","52.50","4.58M","-11.94%"
"Feb 15","62.58","52.68","63.00","51.41","5.13M","18.10%"
"Jan 15","52.99","58.02","58.54","45.19","5.06M","-7.57%"
